"audio","label","labels","human_label","human_labels","path","dataset_source","split","env","emergency","file_exists","audio_format","duration","sample_rate","channels","bit_depth","bit_velocity","size","date_modification"
"64760.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64760.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"16399.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/16399.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"16401.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/16401.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"16402.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/16402.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"16404.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/16404.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"345111.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/345111.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64761.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64761.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"268259.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/268259.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64762.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64762.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"160826.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/160826.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"40515.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/40515.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"40516.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/40516.wav","zenodo","train","indefinida","False","False","","","","","","","",""
