canonical,alertable,emergency
instrument,False,False
another_animal,False,False
dog,True,False
voice,False,False
fight,True,True
crying,True,False
siren_alarm,True,True
notifications,False,False
domestic_activity,False,False
traffic,True,False
car_crash,True,True
construction_noise,True,False
doors,False,False
glass_breaking,True,False
water,False,False
weather,False,False
fire,True,True
gun_explosion,True,True
machine,False,False
engine,False,False
ambient_noise,False,False
human_activity,False,False
impact_rattle,False,False
breathing,False,False
